TPR	FPR	Precision	F1	Range	Length
0.925662787517	0.00215383795497	0.990630353803	0.957045281776	89-96	16
0.925082659118	0.00214886999156	0.990645955919	0.956742398639	91-98	16
0.925183630833	0.00223332536954	0.99028294416	0.95662705034	93-100	16
0.923246809753	0.00219132349707	0.990444135019	0.955665689272	95-102	16
0.921401781141	0.0022134535159	0.99032942314	0.954623005948	97-104	16
0.919246493987	0.00223784169991	0.990201216196	0.953405522943	99-106	16
0.918939907143	0.00223513190169	0.990209732108	0.953244544657	101-108	16
0.919520035542	0.00225093905799	0.990147335293	0.9535276424	103-110	16
0.9197862337	0.00226629458126	0.990083631075	0.953641199194	105-112	16
0.917048982297	0.00225274559014	0.990113198721	0.952181529482	107-114	16
0.914978144213	0.0022559070214	0.990077276068	0.951047469843	109-116	16
0.912272102249	0.00220803391945	0.990257268687	0.94966636949	111-118	16
0.910829124649	0.00239726816208	0.98941454961	0.948496869474	113-120	16
0.909428371583	0.00231687748144	0.989750290708	0.947890804614	115-122	16
0.904941555735	0.00236520221643	0.989487418827	0.945327902178	117-124	16
0.901040375835	0.00241126878624	0.989238967876	0.943082041679	119-126	16
0.895437363573	0.00248443333829	0.988847485667	0.939827102997	121-128	16
0.893025057508	0.00244920596138	0.98897450494	0.938553899555	123-130	16
0.891820740325	0.00251062805445	0.988686042252	0.937758615198	125-132	16
0.890699036363	0.00250340192585	0.988704191656	0.937146278805	127-134	16
0.889933487178	0.00262308468074	0.988160493802	0.936478283884	129-136	16
0.884962007097	0.00276354255535	0.987465278062	0.933407947362	131-138	16
0.877306515246	0.002686764939	0.987704206488	0.929237913101	133-140	16
0.872142270982	0.00275360662853	0.987328513028	0.926167745105	135-142	16
0.609213760792	0.00233674933508	0.984647658723	0.752714001207	137-144	16
0.595720267961	0.00368848701578	0.975449407804	0.73969729885	139-146	16
0.608525317281	0.0198289485034	0.883036339854	0.720519954787	141-148	16
0.644194034591	0.0699015033509	0.693922147163	0.668134073511	143-150	16
0.917291314413	0.000321111089533	0.998579040143	0.956210714467	1-10	20
0.937320430984	0.000366274393265	0.998414082788	0.966903169543	3-12	20
0.938093323567	0.000468795092736	0.997972751277	0.967107049949	5-14	20
0.941473122247	0.000529313919737	0.997719839922	0.968780756886	7-16	20
0.950127316153	0.000568154360946	0.997575168803	0.973273305463	9-18	20
0.950419216202	0.000592994177999	0.997470198242	0.97337645245	11-20	20
0.951706146607	0.000597058875334	0.997456337318	0.974044324192	13-22	20
0.95184383531	0.000592090911924	0.997477813027	0.97412667427	15-24	20
0.950580770947	0.000596607242297	0.997455255062	0.973454055965	17-26	20
0.950386170914	0.000586219682439	0.997498940229	0.973372806098	19-28	20
0.94958941229	0.00060293010482	0.997425677278	0.972919899557	21-30	20
0.949330557529	0.000598865407484	0.997442292447	0.97279191828	23-32	20
0.94805464222	0.00060789806823	0.997400329884	0.972101669231	25-34	20
0.947687472348	0.000629124820984	0.997308758609	0.971865139432	27-36	20
0.945444064424	0.000610156233417	0.997383512059	0.970719515046	29-38	20
0.944926354903	0.000597510508372	0.997436200538	0.970471501917	31-40	20
0.943668798088	0.000592994177999	0.997452147725	0.969815375414	33-42	20
0.938359521725	0.000578090287767	0.997502005226	0.967027332805	35-44	20
0.934568492786	0.00057086415917	0.997523171281	0.965020184126	37-46	20
0.932325084862	0.000568605993983	0.997527023019	0.963824598362	39-48	20
0.927023151896	0.000570412526133	0.997505032407	0.960973465306	41-50	20
0.924359334468	0.0005591217002	0.997547266629	0.959559769403	43-52	20
0.924263870301	0.000556863535013	0.997556896764	0.95951278501	45-54	20
